light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms,source_csv,acquisition_index
32,off,direct,direct,forward,Release,1,23,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.535520,0.000000,0,0,0.000000,0.000000,0.000000,1.773440,3.183014,0.945995,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,24,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534272,0.000000,0,0,0.000000,0.000000,0.000000,2.022336,3.538234,0.939782,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,25,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534400,0.000000,0,0,0.000000,0.000000,0.000000,1.887776,3.382651,0.990197,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,26,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532480,0.000000,0,0,0.000000,0.000000,0.000000,2.019104,3.477119,0.964710,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,27,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.537696,0.000000,0,0,0.000000,0.000000,0.000000,1.897344,3.432404,1.011778,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,28,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534528,0.000000,0,0,0.000000,0.000000,0.000000,2.022464,3.472841,0.962225,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,29,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533312,0.000000,0,0,0.000000,0.000000,0.000000,1.886112,3.462441,1.076581,shadows-off_direct_lights-032_run-1.csv,1
4,off,direct,direct,forward,Release,1,0,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088736,0.000000,0,0,0.000000,0.000000,0.000000,1.313056,2.532267,0.835646,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,1,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088064,0.000000,0,0,0.000000,0.000000,0.000000,1.577984,2.935507,1.016257,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,2,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088160,0.000000,0,0,0.000000,0.000000,0.000000,2.036000,3.603988,1.047196,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,3,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088608,0.000000,0,0,0.000000,0.000000,0.000000,1.578656,2.957639,0.886612,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,4,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.089312,0.000000,0,0,0.000000,0.000000,0.000000,2.125536,3.592878,1.020004,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,5,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088672,0.000000,0,0,0.000000,0.000000,0.000000,1.590752,3.112611,1.044350,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,6,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088160,0.000000,0,0,0.000000,0.000000,0.000000,2.061248,3.933379,1.112959,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,7,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088544,0.000000,0,0,0.000000,0.000000,0.000000,1.595040,3.197872,1.096699,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,8,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088960,0.000000,0,0,0.000000,0.000000,0.000000,2.241184,3.657009,1.025745,shadows-off_direct_lights-004_run-1.csv,2
4,off,direct,direct,forward,Release,1,9,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,4,0,0,0,0,0,0,10,59570496,0.088608,0.000000,0,0,0.000000,0.000000,0.000000,1.586944,3.064029,1.009304,shadows-off_direct_lights-004_run-1.csv,2
